query,clicks,impressions,ctr,position
整体 腰痛 40代,0,12,0,34.166666666666664
整体効果,0,12,0,85.41666666666667
看護師 腰痛,0,12,0,78
膝 ねじれ,0,12,0,44.25
側 弯症 腰痛,0,11,0,60.81818181818182
腰痛風邪,0,11,0,36.90909090909091
脊柱側弯症 ストレッチ,1,10,0.1,27.3
腰痛 椅子,0,10,0,93.1
首 上を向くと痛い,0,10,0,72.7
カイロプラクティック 側弯症手術後できないこと,0,9,0,10.555555555555555
千穂区 肩こり,0,9,0,46.666666666666664
風邪と腰痛の関係,0,9,0,12.222222222222221
首が詰まる,0,9,0,28.22222222222222
ゴルフ 膝 痛み,0,8,0,39.125
三角座り 腰痛,0,8,0,13.625
側弯症ストレッチ,0,8,0,38.25
整体メリット,0,8,0,76.625
風邪 腰痛 原因,0,8,0,10.375
腰痛 しこり,1,7,0.14285714285714285,17.428571428571427
上を向くと首が痛い 治し方,0,7,0,76.14285714285714
体操座り 腰痛,0,7,0,18.285714285714285
側弯症 ストレッチ やり方,0,7,0,47.142857142857146
側弯症 腰痛,0,7,0,60.57142857142857
側弯筋,0,7,0,10.714285714285714
つま先立ち 腰痛,0,6,0,15.333333333333334
側弯症 コルセット 種類,0,6,0,7
側弯症 手術後,0,6,0,31.166666666666668
側弯症 手術後 腰痛い,0,6,0,10
側弯症 術後 腰痛,0,6,0,14.5
側弯症 高齢者 ストレッチ,0,6,0,36.333333333333336
側弯症コルセット 種類,0,6,0,9.5
整体 歪み,0,6,0,62.166666666666664
整体の効果,0,6,0,77.16666666666667
梅雨 腰痛,0,6,0,74.16666666666667
膝の痛み ゴルフ,0,6,0,42
側弯症 歩きにくい,1,5,0.2,8.4
ゴルフ 膝痛,0,5,0,37.2
側弯症,0,5,0,22.6
側弯症 ぶら下がり,0,5,0,24.6
側弯症 大人 ストレッチ,0,5,0,59
側弯症 手術後 生活,0,5,0,23
側弯症 治し方 ストレッチ,0,5,0,40
手首 ゴルフ 痛み,0,5,0,54.6
栄 整体 腰痛,0,5,0,58.2
腰痛 レントゲン mri,0,5,0,51.8
腰痛 整体 効果,0,5,0,102
腰痛mriでわかること,0,5,0,90.4
膝のねじれ,0,5,0,49.4
薬院 整体,0,5,0,80.6
風邪腰痛,0,5,0,35
龍ノ口町 五十肩,0,5,0,3.6
ゴルフ 膝が痛い,0,4,0,46
ゴルフで手首が痛い,0,4,0,40
ゴルフ手首痛い,0,4,0,41.75
バランス整体,0,4,0,9.25
レッドフード整体,0,4,0,6.25
体育座り 姿勢,0,4,0,11.25
側弯症 手術 痛い,0,4,0,12.5
側弯症 腰の痛み,0,4,0,80.75
側弯症 腰痛い,0,4,0,74.5
整体 なぜ効く,0,4,0,20.75
整体 骨の歪み,0,4,0,89.75
整体ラボ,0,4,0,9.75
肩甲骨はがし 整体院,0,4,0,53.5
腰痛 40代,0,4,0,48
腹筋首痛い,0,4,0,47
風邪 腰痛 なぜ,0,4,0,16.5
首 上向けない,0,4,0,98.5
40代女性 腰痛,0,3,0,39
ゴルフ 左手首 痛い 原因,0,3,0,39.666666666666664
ゴルフ 手首 痛める,0,3,0,26
ゴルフ 手首痛い,0,3,0,41.666666666666664
ゴルフ左手首痛い,0,3,0,23.333333333333332
五十肩 テニスボール,0,3,0,49.666666666666664
五十肩 マッサージ 悪化,0,3,0,85
体 歪み 整体,0,3,0,69.33333333333333
体育座り 腰痛 リハビリ,0,3,0,11.666666666666666
側弯症 ウォーキング,0,3,0,25.333333333333332
側弯症 ストレス,0,3,0,51.333333333333336
側弯症 手術後 痛み 知恵袋,0,3,0,15.666666666666666
側弯症 筋力低下,0,3,0,16.666666666666664
側弯症 筋肉の張り,0,3,0,11
側弯症 腰痛 ストレッチ,0,3,0,39
側弯症 術後 肩こり,0,3,0,19.333333333333332
側弯症腰痛,0,3,0,48
冬 腰痛,0,3,0,80
整体 体の歪み,0,3,0,72.33333333333333
整体 行く理由,0,3,0,73.33333333333333
整体院フィジカルlabo,0,3,0,24
背骨曲がってる 整体,0,3,0,100.33333333333333
脊椎側弯症 手術後,0,3,0,12
腰痛 40代 女性,0,3,0,53.666666666666664
腰痛 つま先立ち,0,3,0,29.666666666666668
腰痛にならない椅子,0,3,0,76
腰痛症 看護,0,3,0,86.33333333333333
腹筋 首痛い,0,3,0,48.666666666666664
膝のねじれ 整体,0,3,0,22.666666666666668
足を組む 腰痛,0,3,0,49.333333333333336
風邪で腰痛,0,3,0,18.666666666666668
風邪ひく 腰痛い,0,3,0,12
風邪腰痛い,0,3,0,49
首がつまる,0,3,0,26
首が絞まる,0,3,0,9.666666666666666
首こり 上を向くと痛い,0,3,0,52.666666666666664
首つまり,0,3,0,39.666666666666664
首詰まる,0,3,0,20.333333333333332
龍ノ口町 整体院,0,3,0,21.666666666666668
側弯症 術後 後遺症,1,2,0.5,25
red 肩こり,0,2,0,53.5
ぶら下がり 腰痛 悪化,0,2,0,69.5
オフィス 肩こり 解消法,0,2,0,80
ゴルフ ダフリ 手首 痛い,0,2,0,45
ゴルフ 手首 痛い 小指側,0,2,0,28
ゴルフ 膝痛い,0,2,0,37.5
ゴルフ右手首痛い,0,2,0,19.5
上 を 向く と 首 が 痛い 治し 方,0,2,0,69.5
久屋大通 整体,0,2,0,43
側弯症 50代,0,2,0,98
側弯症 やってはいけないこと,0,2,0,74
側弯症 ボストン装具,0,2,0,15.5
側弯症 手術 後悔,0,2,0,42.5
側弯症 手術 痛み 知恵袋,0,2,0,17.5
側弯症 手術後 リハビリ期間,0,2,0,54.5
側弯症 病名,0,2,0,68
側弯症術後,0,2,0,22
徳重 整体,0,2,0,50
整体 健康,0,2,0,55
整体 千里丘,0,2,0,56
整体院,0,2,0,7
